pathway,memory_vs_intermediate_padj,memory_vs_intermediate_NES,memory_vs_effector_padj,memory_vs_effector_NES,intermediate_vs_effector_padj,intermediate_vs_effector_NES
GSE27786_ERYTHROBLAST_VS_MONO_MAC_UP,0.20083792396025565,-1.2422457273792065,0.00934643983517116,1.6891310533648052,0.00857498891165227,1.866941368498523
GSE43955_1H_VS_42H_ACT_CD4_TCELL_DN,0.18931075796116467,-1.2425715086509441,0.37156802928615007,1.111289084893797,0.2852363587701984,1.1849548461855461
GSE17721_CTRL_VS_PAM3CSK4_8H_BMDM_UP,0.17731851349663696,-1.2429031601961265,0.2540262337452234,1.1826458497718522,0.13499449714549813,1.2897284250133305
GSE24081_CONTROLLER_VS_PROGRESSOR_HIV_SPECIFIC_CD8_TCELL_DN,0.1888257653165488,-1.2431297029427495,0.09210546407201955,1.3513084400420576,0.04591841173451189,1.4047774091086087
GSE21033_CTRL_VS_POLYIC_STIM_DC_3H_DN,0.17530521360719303,-1.2433338089562118,0.8585343147237657,0.8429500729625385,0.4899848057304102,1.0522809886229065
GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_UP,0.17731851349663696,-1.243475082658783,0.8346456158681589,0.8694133707540445,0.31544360353255396,1.160616096929296
GSE360_DC_VS_MAC_B_MALAYI_LOW_DOSE_DN,0.17218875502008033,-1.2437112490897293,0.6994831405365495,0.935268851770489,0.7141234833542527,0.9428387882652002
GSE17721_CTRL_VS_CPG_2H_BMDM_UP,0.18238066178464876,-1.2439781083422952,0.6843526730131975,0.9452429579982855,0.33773526047624003,1.1503047162233173
GSE20152_SPHK1_KO_VS_WT_HTNFA_OVERXPRESS_ANKLE_DN,0.18143614027096827,-1.2441453277483605,0.3448827901658091,-1.0789517601916787,0.7851572684040828,0.9088452249778789
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_UP,0.1907855414535217,-1.2448980427733836,0.16982266567905538,1.2491674750743256,0.026188479649100177,1.5400809974314982
