pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdgestr
HALLMARK_P53_PATHWAY,0.07065217391304347,0.13083735909822866,0.26752436326496987,1.2301220141450204,12,176,"TSPYL2, DCXR, PITPNC1, TNFSF9, BLCAP, PTPRE, ANKRA2, SFN, PPP1R15A, TAX1BP3, IP6K2, FBXW7, RNF19B, RCHY1, ABCC5, RAP2B, IER5, ALOX15B, NOL8, BTG1, BTG2, CCND2, DDIT4, RAB40C, TOB1, HEXIM1, CDKN2AIP, DDIT3, RXRA, PRKAB1, CDKN2B, SLC3A2, BAK1, KLK8, FOXO3, VAMP8, SAT1, F2R, PRMT2, CGRRF1, RAD9A, IER3, MAPKAPK3, TXNIP, TPRKB, DNTTIP2"
HALLMARK_UV_RESPONSE_UP,0.039190897597977246,0.08907022181358466,-0.33136800085857965,-1.3177241604715002,30,134,"TFRC, CASP3, AP2S1, RFC4, FURIN, CCNE1, TYRO3, NUP58, CDC34, CNP, TUBA4A, IL6ST, OLFM1, FEN1, LYN, ASNS, KLHDC3, EPCAM, NFKBIA, POLR2H, STIP1, PDAP1, HMOX1, ATF3, TAP1, PPP1R2, PPAT, IRF1"
HALLMARK_UV_RESPONSE_DN,0.18518518518518517,0.29868578255675027,0.256996643191027,1.122261201552445,39,122,"BHLHE40, NRP1, SMAD7, MTA1, NIPBL, ATP2B1, AKT3, NOTCH2, PRKCE, GRK5, YTHDC1, NR1D2, WDR37, ATRN, RXRA, BMPR1A, LAMC1, CDK13, DYRK1A, ATP2C1, LTBP1, RASA2"
HALLMARK_ANGIOGENESIS,0.28157894736842104,0.3910818713450292,0.3451996714312187,1.126843019981786,106,26,"KCNJ8, NRP1, CCND2, LRPAP1"
HALLMARK_HEME_METABOLISM,0.04145077720207254,0.09011038522189682,0.2800201862061885,1.2969228683798593,7,175,"KLF3, MXI1, ARHGEF12, KDM7A, MOSPD1, BNIP3L, YPEL5, CTNS, CIR1, FECH, FOXJ2, SLC30A1, TSPAN5, SLC6A8, BTG2, RNF19A, VEZF1, ALDH6A1, SYNJ1, ATG4A, BTRC, ISCA1, RBM5, CAST, GCLC, FOXO3, ARL2BP, GYPC, ACP5, ELL2, DCAF11, MARK3, CPOX, BPGM, HAGH, SDCBP, TCEA1, DCAF10, PICALM, UROD, CCDC28A, MOCOS, ENDOD1, TOP1"
HALLMARK_COAGULATION,0.09772423025435073,0.16849005216267365,-0.3384174350568026,-1.2703604131920336,72,93,"PECAM1, DUSP6, FURIN, CPQ, CTSH, SH2B2, ITGA2, PREP, LRP1, TF, LGMN, C1QA, MST1, MAFF, RAC1, PDGFB, MMP9, VWF, GNG12, APOC1, ITGB3, CTSB, DPP4, CD9, PEF1, HPN, MSRB2, CFB, HTRA1, C1R"
HALLMARK_IL2_STAT5_SIGNALING,0.009987515605493134,0.02774309890414759,-0.34258540056800296,-1.4019083361923066,7,181,"MYC, CDC6, CASP3, CXCL10, BATF3, EOMES, TRAF1, FURIN, SOCS1, CCNE1, CTLA4, ITIH5, CAPN3, GLIPR2, SELL, IRF8, PTGER2, TTC39B, CD83, UCK2, NDRG1, LTB, CD81, TNFRSF9, CD44, RGS16, TWSG1, RNH1, TGM2, ICOS, IL10, ITGA6, TNFRSF4, MAFF, CTSZ, IL2RB, IRF4, TNFRSF21, SYNGR2, SNX9, LCLAT1, NOP2, TNFRSF1B, UMPS, PLEC, SWAP70, PHTF2, IL4R, AHR, IRF6, SPRED2, CA2, PTRH2, IL1R2, TLR7, CD79B, PNP"
HALLMARK_BILE_ACID_METABOLISM,0.6947791164658634,0.8035612697690295,0.21586552868899056,0.8958822721236591,172,89,"AQP9, PEX11G, LCK, PEX26, PEX6, BMP6, RXRA, CROT, PEX19, HSD17B11, SCP2, SLC23A1, PRDX5, GNPAT, PEX13, PHYH, HSD17B4, GNMT, ABCA2, PEX16, IDH1, SULT2B1, MLYCD, SLC27A5, PNPLA8, RETSAT"
HALLMARK_PEROXISOME,0.6,0.7142857142857143,-0.24907123507775072,-0.9293881506346134,446,87,"TOP2A, CTPS1, CADM1, FADS1, PRDX1, IDI1, FDPS, ELOVL5, SMARCC1, ISOC1, CACNA1B, FIS1, GSTK1, ABCD1, ACOT8, SLC35B2, HSD3B7, ATXN1, DHCR24, ABCD3, SLC25A4, ABCB9, YWHAH, ACSL5, BCL10, SOD1, EPHX2"
HALLMARK_ALLOGRAFT_REJECTION,0.0024600246002460025,0.007687576875768758,-0.36669059779315194,-1.5014243909697813,1,174,"CXCR3, BRCA1, BCAT1, HLA-DOA, SPI1, SOCS1, RPS9, RPL39, RPS19, HIF1A, HLA-DOB, TPD52, IL12RB1, TLR1, IRF8, NPM1, EIF3D, RPS3A, CXCL9, TLR3, FGR, LTB, CD7, LY86, CRTAM, TLR2, CD74, TNF, LYN, CD28, CD4, HLA-DMA, IFNAR2, HLA-DMB, CFP, IL18, IL2, MRPL3, IL10, GCNT1, IFNGR2, TAP1, MMP9, IL2RB, IGSF6, IRF4, IL1B, TRAT1, CTSS, HDAC9"
HALLMARK_SPERMATOGENESIS,0.0013351134846461949,0.004775549188156638,-0.46070026066681774,-1.7212690303926683,0,88,"DBF4, NEK2, NCAPH, AURKA, EZH2, TTK, BUB1, KIF2C, CDKN3, CCNB2, RFC4, STRBP, NEFH, CLPB, PGS1, GRM8, MLF1, PSMG1, PCSK4, TALDO1, CLGN, VDAC3"
HALLMARK_KRAS_SIGNALING_UP,0.03879849812265332,0.08907022181358466,-0.3282708672411377,-1.3232353720142882,30,154,"PECAM1, CXCL10, DUSP6, TRAF1, PDCD1LG2, TRIB2, VWA5A, ST6GAL1, CBL, SERPINA3, IRF8, SLPI, F2RL1, CSF2RA, ITGA2, IL7R, ADAM8, ADAMDEC1, TRIB1, RGS16, MMD, FCER1G, KCNN4, MAFB, PLAUR, MMP9, GPNMB, WDR33, GLRX, CLEC4A, RBM4, IL1B, CTSS, ENG, HDAC9, IKZF1, ALDH1A3, TOR1AIP2, TNFRSF1B, TLR8, F13A1"
HALLMARK_KRAS_SIGNALING_DN,0.9633986928104575,0.9830598906229159,-0.18385786471368887,-0.7066932205526636,736,109,"SIDT1, GTF3C5, SLC29A3, GPRC5C, MSH5, CDKAL1, SYNPO, TGM1, BARD1, PDCD1, TEX15, SLC30A3, THRB, RSAD2, SPTBN2, FGGY, MTHFR, ENTPD7, DLK2, SLC16A7, CAMK1D, ARHGDIG, RYR1, MX1, IL12B, NR4A2, KCNMB1, MEFV, TG, COPZ2, MYO15A, FGFR3, RGS11, TFCP2L1, CKM, PAX3, SPHK2, TGFB2"
HALLMARK_PANCREAS_BETA_CELLS,0.9935064935064936,0.9935064935064936,-0.17912652821608552,-0.49104875585005664,611,19,"MAFB, DPP4, LMO2, VDR"
