pathway,effector_vs_all_padj,effector_vs_all_NES,intermediate_vs_all_padj,intermediate_vs_all_NES,memory_vs_all_padj,memory_vs_all_NES
Utzschneider_chronic_TCF1_pos,0.0011363636363636363,-2.367950315866698,0.08191489361702127,1.1981456366988026,0.0012077294685990338,2.8035110054410284
Utzschneider_chronic_TCF1_neg,0.0011737089201877935,-2.9284473106549926,0.0010548523206751054,3.351376246296957,0.0014184397163120568,1.5670027879334674
Utzschneider_memory,0.004291845493562232,1.9302387997230617,0.006097560975609756,-1.7057503111222592,0.0035087719298245615,-1.9232421636596244
Utzschneider_TCF1pos_vs_TCF1neg,0.001226993865030675,-1.6417095028947655,0.001455604075691412,-2.62742208854778,9.99000999000999e-4,2.493322712624666
Hudson_early_CD101posTim3pos_vs_CD101negTim3pos,0.0011273957158962795,-2.008428994448594,0.14594594594594595,1.1479310555077025,0.0011641443538998836,2.308369218683138
Hudson_early_CD101negTim3pos_vs_CD101negTim3neg,0.0011933174224343676,-1.482248711436854,0.001,2.263993241540756,0.0014792899408284023,-2.6029093454787082
Hudson_late_CD101posTim3pos_vs_CD101negTim3pos,0.003968253968253968,2.2899829455180636,0.004901960784313725,-2.893607622718611,0.001141552511415525,1.61493042919146
Hudson_late_CD101negTim3neg_vs_CD101negTim3pos,0.0016260162601626016,1.9642578765574361,0.0012437810945273632,-2.916937023370186,0.0010111223458038423,1.9888165591327398
