pathway,memory_vs_intermediate_padj,memory_vs_intermediate_NES,memory_vs_effector_padj,memory_vs_effector_NES,intermediate_vs_effector_padj,intermediate_vs_effector_NES
Utzschneider_chronic_TCF1_pos,0.0019801980198019802,2.4463882311540734,0.0011325028312570782,2.548984136865448,0.0010660980810234541,1.9945905440423188
Utzschneider_chronic_TCF1_neg,0.0016863406408094434,-3.579834551855726,0.0012953367875647669,2.563029079430833,0.0011173184357541898,3.0990921114490755
Utzschneider_memory,0.06557377049180328,-1.2316408908859682,0.0035842293906810036,-1.939354556000023,0.0049261083743842365,-1.8457637308838175
Utzschneider_TCF1pos_vs_TCF1neg,0.001,3.014342110314624,0.0010224948875255625,2.0791267226019436,0.0025575447570332483,-1.8917045583410963
Hudson_early_CD101posTim3pos_vs_CD101negTim3pos,0.0017391304347826088,2.218982385142995,0.0011325028312570782,2.1489297772161366,0.0010845986984815619,1.704588422220723
Hudson_early_CD101negTim3pos_vs_CD101negTim3neg,0.001037344398340249,-2.9807318865981443,0.002680965147453083,-1.8993602978224182,0.0010245901639344263,1.7764622285662328
Hudson_late_CD101posTim3pos_vs_CD101negTim3pos,0.0014265335235378032,2.548031195066333,0.0047169811320754715,-1.9767232129250674,0.004032258064516129,-2.579111832960756
Hudson_late_CD101negTim3neg_vs_CD101negTim3pos,0.0010050251256281408,2.8259085710380054,0.004694835680751174,-1.5511573027187469,0.0014005602240896359,-2.3445584286371384
