Gene,memory_vs_intermediate_log2FoldChange,memory_vs_intermediate_pvalue,memory_vs_intermediate_padj,memory_vs_effector_log2FoldChange,memory_vs_effector_pvalue,memory_vs_effector_padj,intermediate_vs_effector_log2FoldChange,intermediate_vs_effector_pvalue,intermediate_vs_effector_padj
Dazap2,-0.07327298516379122,0.7446648430407241,0.9465193010123786,-0.620033397403493,0.003213275339796979,0.014949114772215704,-0.5467604122397017,0.009368116812928852,0.034108508004417774
Mcts1,-0.07604183689929464,0.5698423063674526,0.8924913897337258,0.35957625165500323,0.0042287743486077506,0.018776386921847948,0.4356180885542979,5.342282847347766e-4,0.0031382160125044993
Rnf17,0.024322565152289633,0.9868043986621011,NA,0.4535778531845432,0.7446885115975248,0.8618202553957273,0.42925528803225355,0.7590239217656405,NA
Trappc10,-0.5955594577712042,0.053478882855772764,0.33011621439287603,-0.538939875195977,0.062159030051709724,0.16023614135344336,0.056619582575227256,0.8431242901294825,0.9130344600858465
Ccm2,0.22870181468533118,0.15428466157566573,0.5497590336241953,-0.11088693938327177,0.4596983518813215,0.6518572506026659,-0.33958875406860295,0.0237538024528514,0.07217601072215836
Tbrg4,-0.001573585881484871,0.9925510111436628,0.9984378049506857,0.4166463321435503,0.008484545098997143,0.033233299080374465,0.4182199180250352,0.008266617626767862,0.030753949943479283
Mx1,0.13563872945897418,0.505019603922565,0.8620121508865932,0.24843816401919078,0.191107241655683,0.3619703289463174,0.11279943456021659,0.5530943235295311,0.7180869185665882
Fap,0.30541719876766016,0.8465483701568776,NA,-0.07724787412679568,0.9580173687630479,NA,-0.38266507289445584,0.8017083539632648,NA
Ndufa9,-0.10405780026747319,0.537929351216964,0.8791202967204313,0.16135524511198332,0.30750768576964765,0.5028575847251742,0.26541304537945654,0.09323830192846609,0.20812523092436466
Egfl6,-0.5230625410188788,0.7427257708528371,NA,-1.7810776230543621,0.2092901960253179,NA,-1.2580150820354834,0.3533912686275696,NA
Lck,-0.020495126524194645,0.8919857828536221,0.9797206265215406,-0.7293625338017962,2.3838731585810108e-7,3.656390811733868e-6,-0.7088674072776016,5.129257318196708e-7,7.487999557891005e-6
Galnt1,-0.3654794804073352,0.02026114379019154,0.19283414100865778,-0.2993798129529499,0.04244092270820073,0.11912448241267812,0.06609966745438534,0.6532323537605185,0.7918111345032223
Mkrn2,-0.1917489843168452,0.12990232263610463,0.5072546189793097,-0.27000011080274117,0.022295794315959516,0.07181795234892677,-0.07825112648589595,0.5073384750844092,0.6829006909777268
Pparg,-4.161025719358154,2.8562569582171725e-7,4.5086440282036024e-5,0.7038609555610597,0.41359771017912816,0.6107218332089351,4.864886674919213,5.519724923288939e-10,1.3865615310303896e-8
Raf1,0.04159322128337548,0.7510809394960749,0.9481485715524024,0.012091880008126684,0.9214099584196446,0.9612055188305906,-0.029501341275248793,0.8100566366172398,0.8930640876841134
Sept1,0.0636047220583347,0.6737641372816945,0.9253931068314272,-1.1685728917655944,1.284588611447207e-16,9.025368455956142e-15,-1.232177613823929,2.691852880645113e-18,1.9839074314181824e-16
Pdgfb,0.14176675094011335,0.7932261033947874,0.9592808677667136,1.7276442084507377,7.301605573190566e-4,0.004336967237455754,1.5858774575106243,0.0019539943111815923,0.009345433054907959
Acvrl1,0.011967131664369277,0.9893110314471939,0.9975703984893693,5.372079835536603,6.980123870473949e-8,1.1978534412204145e-6,5.360112703872233,7.615094139215768e-8,1.3107049891880635e-6
Grasp,-0.4992638900718052,0.3608414402215101,0.7826971135349341,0.40975192713764447,0.4295402479447853,0.6247103035369956,0.9090158172094497,0.07763819293315943,0.18085720497924493
Acvr1b,0.8246639844911853,0.060812459088433996,0.3521818272304845,0.8367354237472971,0.04082386794671195,0.11572791426159673,0.012071439256111828,0.9773486367009653,0.988027202639642
Tom1l2,0.5343094048096841,0.004644477399662841,0.07426192780277488,0.10327838194906212,0.5528282204603779,0.7286896798870228,-0.4310310228606221,0.015076817040835666,0.05022603526347684
Zfp385a,0.4253784656082677,0.7582273429036457,0.9511726759535122,0.7588615584899729,0.5578707088418009,0.7322833875692271,0.33348309288170513,0.7975529168551171,0.8856606591793428
Itga5,0.12573413548712,0.8679685664112372,0.976502918234024,0.5366795000639427,0.45411532791353554,0.6468971536249272,0.41094536457682274,0.57009215317465,0.7307935132172063
Gabra2,-0.6046029465392844,0.33820322436841116,0.765687873630443,-0.47673869136996977,0.4224756184717874,0.6183691756989838,0.12786425516931457,0.8266647373880959,0.9030199099130182
Wdr77,0.2833485017703039,0.0773666445727329,0.3943681384693865,0.22981720215215362,0.12485537831822198,0.2669023932644392,-0.053531299618150265,0.7219862769763054,0.8388659222038746
Adora3,0.9104105653190351,0.1131126305557914,0.4730279029644486,0.7628980018512933,0.15142288109308988,0.30751210509788146,-0.14751256346774175,0.7886797255144329,0.8805213084989297
