Gene,effector_vs_all_log2FoldChange,effector_vs_all_pvalue,effector_vs_all_padj,intermediate_vs_all_log2FoldChange,intermediate_vs_all_pvalue,intermediate_vs_all_padj,memory_vs_all_log2FoldChange,memory_vs_all_pvalue,memory_vs_all_padj
Dazap2,0.5833972944204657,0.0010360319887556184,0.00474598545398764,-0.23674390834824366,0.21451948476414986,0.46768977406025886,-0.34665338607222207,0.06914040317232417,0.2617981118606266
Mcts1,-0.39759708780990005,1.8821356919508617e-4,0.0010762956609317472,0.2558299214147052,0.02437202034269083,0.11525563999650233,0.14176716639519424,0.21190639370041459,0.509203129561276
Rnf17,-0.4414158779750342,0.7099249486405051,0.8221197970294932,0.2024659958705701,0.8718504442647212,NA,0.23894988210446408,0.8483688108372903,0.945662035479748
Trappc10,0.24116051538791772,0.3203523626630286,0.4888368051674321,0.32608934481043134,0.2098214846727426,0.4619539432320465,-0.567249860198349,0.03062171250539078,0.151851798215241
Ccm2,0.22523799973171732,0.07571212653803569,0.16515992439491628,-0.28414536141808155,0.036912357189101144,0.15421126783124633,0.05890736168636422,0.6649011888027981,0.8658842885062425
Tbrg4,-0.41743299713088206,0.0018429242808599205,0.00776660715833032,0.20989668780358564,0.14244860633771486,0.36737989383730774,0.20753630932729578,0.14683537839924224,0.4116953886550893
Mx1,-0.1806186106121954,0.2607183483184815,0.42375305529111085,-0.011419742162137233,0.9472172259542526,0.978038425284725,0.19203835277433198,0.2652732933146063,0.5763402041087149
Fap,0.2299580565780912,0.856400807883952,NA,-0.3440420153526561,0.8012489117216841,NA,0.11408395877456488,0.9311103729022336,NA
Ndufa9,-0.21338398645501114,0.11040054744076234,0.22384972928346514,0.18473534342881048,0.19719151685707031,0.44559379386870895,0.028648643026200644,0.841488355909242,0.9429862948919112
Egfl6,1.5195505110866232,0.1809642655284193,NA,-0.36747812733641105,0.7771250490041346,NA,-1.1520723837502123,0.39265832687144625,NA
Lck,0.7191151646528458,1.6646746493209718e-9,2.9441570599441787e-8,-0.3441862374341305,0.007146780189661716,0.04829434383704912,-0.3749289272187165,0.003387502686361662,0.030404224930869014
