Gene,effector_vs_all_stat,intermediate_vs_all_stat,memory_vs_all_stat
Gnai3,2.3815108226042834,-0.602002823017333,-1.61783514071207
Cdc45,-11.141089915953945,7.118941014926446,3.4683995584350567
Scml2,1.5543605766744097,-0.8855567636077853,-0.5090013914302329
Narf,0.7556550308224933,-2.3747673017057216,1.6809868865652697
Cav2,-0.8180616841129744,0.07997203253188157,0.7128786271326827
Klf6,5.192795082075941,-2.0127794777546826,-2.823616634377609
Scmh1,-2.9156158455978924,-1.1931047254471125,4.063739657465233
Cox5a,-4.251706933000117,4.587139033240715,-0.6167866997346139
Tbx2,0.2069785302832726,-0.6878246028054698,0.53748120148939
Ngfr,3.014517041771557,0.17412407191198417,-2.6966643278267726
Wnt3,-0.4218453326741733,-0.5175402421843434,0.9944964147704045
Wnt9a,0.21005396324016412,-0.29058206771593387,0.09984619892646619
Fer,-1.7922859948387355,3.2804166767752374,-1.3793918955892852
Xpo6,1.6674511799532556,1.214614250442541,-2.7663293002106166
Tfe3,-2.61508794441326,0.8681925864691874,1.5773547464380018
Axin2,4.885160660097011,-1.178184080933931,-3.275793559217631
Brat1,-0.978582489695517,-0.034015319507273455,0.9480255832343136
Gna12,0.583747963121684,0.7528972972643474,-1.2894240336086653
Slc22a18,-3.2420817688317283,0.25926692142903474,3.9175858187778996
Itgb2l,-0.6345079570968583,0.0991658183008131,0.5088733299739306
Igsf5,1.5706892920932636,0.7273662531203297,-1.8404853246537958
Pih1d2,0.26099490191194946,0.07531772294830913,-0.32101685537325386
Dlat,-0.5424227110605537,0.9430289542603981,-0.4371441279479477
Sdhd,-3.8289669043850574,2.7104986611668505,0.8652337133867362
Fgf23,-0.26489710186756693,0.6672924822323497,-0.4016909586716294
Ccnd2,4.625313862160695,-2.958883259617726,-1.3532353827346177
Gpr107,-1.0564270141193972,0.3205954997197438,0.6652932680457136
Btbd17,-0.8346409202452106,-1.134311489162891,2.0589660381308477
Slfn4,-0.3185172919813337,-0.22642285632488104,0.5304912604620096
Th,-0.12657192871859366,0.13911799098050562,-0.020578203270801135
Drp2,-2.193712413246936,1.648163474321391,0.6677277591355
Tspan32,-1.4731296690437856,2.469388737252032,-1.0928593036756196
Lhx2,-1.6276695924495017,0.76681638848793,0.9881476007319138
Clec2g,-1.0011021639422408,0.9761913915018704,3.8189902249449086e-5
Gmpr,1.4624112491471026,0.8758183761604525,-1.8538343632303949
Mid2,2.5213058070379692,-0.6952946458472268,-1.4901957079965145
Trim25,1.1669412505190502,-0.8287547415243119,-0.25831452262009563
Dgke,2.1422362099908243,-4.389738328823414,2.442802798878468
Scpep1,-3.4719480483383385,0.7533343017710716,2.4958773291410807
Mnt,2.513155056429532,-1.2590966289393644,-1.071747512954164
Itgb2,4.3507380579619035,-0.36817435058158837,-3.6884418856402625
Hddc2,-2.3344914383364688,0.727676575428456,1.4573547136058496
Pemt,-1.4309830990520915,0.2627740689600341,1.1333552650494663
Cdh1,-7.21502706311441,1.5148548443183467,7.0784892981677014
Bcl6b,0.2806154562047862,0.41538991378417417,-0.6619820497423445
Clec10a,-1.502724322920262,-1.7335794053956524,3.3433277820115457
Alox12,-0.9390043161186726,0.29389146253430454,0.6086717427719806
Arvcf,-1.4013908777405952,1.0520972356437537,0.3132943723901554
Comt,2.2712100942804905,1.5943269201180081,-3.7120253015740623
Rtca,-4.048588557191749,4.571931519228045,-0.7587628603334265
Dbt,0.81551229567532,-1.5763862295434303,0.8214933075637794
Dazap2,3.2805546295133747,-1.2412335486570838,-1.8175012101869632
Mcts1,-3.734332680472729,2.251213467126778,1.2483404859580105
Rnf17,-0.3719568876601909,0.16130848049195545,0.1912001184248339
Trappc10,0.9937340466038008,1.2540564594029446,-2.1619541237094753
Ccm2,1.7761261526539986,-2.08673210793811,0.43315634828964455
Tbrg4,-3.1144432125940895,1.466733351876511,1.45080065082435
Mx1,-1.124694888848791,-0.06620172183950426,1.11401373736561
Fap,0.18095766232427116,-0.25173110629738504,0.08644789726065884
Ndufa9,-1.5963953779319944,1.2895944121754308,0.19999005891193086
Egfl6,1.337791953802634,-0.28306755917316634,-0.8548064138611915
Lck,6.027546402993636,-2.6899262942404394,-2.9301941618588176
Galnt1,0.9365681468461623,1.6186059267227544,-2.487125305739498
Mkrn2,1.7467552211360633,0.5294011228444188,-2.1518201877814747
Pparg,-3.884576010361034,6.721474366755379,-2.34052774312692
Raf1,0.08397407661514027,-0.3195654451056673,0.24163008066420066
Sept1,10.059340148258807,-5.05876859775785,-4.314578618157441
Pdgfb,-3.813385837382262,1.568364855814993,2.032489478198976
Acvrl1,-6.022342076906278,3.3223480945203656,3.3472662420367416
Grasp,-1.502577495005228,1.5196517379133827,-0.09598087950303522
Acvr1b,-1.1970890736196864,-1.0659817484345528,2.2589724546919245
Tom1l2,1.1059337591210783,-2.9951640687276053,2.0125664081930354
Zfp385a,-0.4973207908794978,-0.03910414490896995,0.5057261326471784
Itga5,-0.7729208931856096,0.2202207912435836,0.5159205614186678
Gabra2,0.35066266320724815,0.6903565715605915,-1.0028812786182455
Wdr77,-0.6947650610169411,-1.2357010605510923,1.8904173392623125
Adora3,-0.6709337665848766,-1.0668306539949983,1.7415817032266456
Atp5f1,-5.306432748227896,4.097343080387289,0.8590513862247269
Sox9,-1.0167517276887317,0.9514982706033939,0.09830809975263505
Hnrnpd,-0.8944019701401258,3.1424313355360405,-2.2991479511419293
Dynlt1c,0.3890748189009041,-1.773826021449193,1.414704107945406
C1d,-1.049497203937896,1.4915181950220837,-0.5112546093692093
Gm2a,-1.9620732791512336,-0.90255636313493115,2.733035878504442
Krit1,2.9381081841595007,-2.268630049807066,-0.46810903103208357
Clcn4-2,5.1102102056669505,-1.9827773492164924,-2.7723539255647642
Sema4f,4.575583280058316,-0.6953079289643154,-3.5481920602598858
Hk2,-1.873085380265244,0.7280087560949144,1.0427292189157118
Myo18a,3.4408246169728818,0.03883947811989566,-3.2405869176557873
Sez6,0.17284678162934558,-0.395597366589358,0.24944792132993726
Haao,-0.43079695845844607,2.1147169588778634,-1.7056343871606496
Cd52,-0.6983337717162921,0.9664247659811234,-0.31520355731557914
Abhd15,-4.928404856489194,0.33534083513702234,4.360270105626497
Loxl3,-1.1960409878386304,1.3974469741825333,-0.2387137150195712
Btn1a1,0.1927049724697632,-0.51965161886457,0.3702369155710831
Kat2b,-0.0803226412037773,0.2773164329805872,-0.20253029069918826
Rab5b,4.033152999929843,-2.2691043734599283,-1.4844455035847302
Cryba1,1.9384857476728508,-1.952166180688434,0.3855228313240886
Aire,1.6063984265309756,-0.228632828997537,-1.1887916541991561
Icosl,7.412813943138523,-5.300999592424777,-1.4304670851269408
Spg7,3.6448242742544656,-1.2738707162696064,-2.109258981640611
