Gene,memory_vs_intermediate_stat,memory_vs_effector_stat,intermediate_vs_effector_stat
Gnai3,-0.5740666684849682,-2.319419021281586,-1.70544944428869
Cdc45,-2.0704901722438502,8.386213916772709,10.574500616146286
Scml2,0.216565346912673,-1.18636618011394,-1.403505828125524
Narf,2.291995279803138,0.5905758956927283,-1.860654005137144
Cav2,0.3564397456956169,0.8934740501448389,0.5086212860453012
Klf6,-0.45798136558640906,-4.632081477780752,-4.141426492020318
Scmh1,2.949312819608215,4.1257300968986526,0.9031251350793694
Cox5a,-2.941389119531821,2.0232500430246945,5.167160359776805
Tbx2,0.691676931295251,0.20935340071509212,-0.5305374188122463
Ngfr,-1.644309222520065,-3.2764196129573198,-1.620773507027611
Wnt3,0.8474760776401837,0.8452688009310566,-0.07766167009472366
Wnt9a,0.22103907521220512,-0.05836725191937481,-0.2932693272473571
Fer,-2.6333734853811426,0.18582551594504376,2.988374393914224
Xpo6,-2.2497134615480867,-2.611230782930641,-0.20515944548231146
Tfe3,0.4005038678176103,2.4270720906773526,1.997833636702616
Axin2,-1.1832747118768752,-4.730835973183103,-3.45804151622333
Brat1,0.5548852931123505,1.1244187454076595,0.5306668671106809
Gna12,-1.154419478560752,-1.1076062182969018,0.12608158499103023
Slc22a18,2.292960561012138,3.936824959270317,2.0943426346593426
Itgb2l,0.23260861103817046,0.6640503232935562,0.4190181156927131
Igsf5,-1.4632078499148307,-1.936582707260889,-0.4784734413588461
Pih1d2,-0.22363889575631593,-0.34152212282633704,-0.10117358169661099
Dlat,-0.7801940608711199,0.04165003716786395,0.87526218856026194
Sdhd,-1.0431449782729527,2.6805756580353064,3.7949999686024722
Fgf23,-0.6038097582061753,-0.09317325154162583,0.5531087421877693
Ccnd2,0.9074808177346491,-3.4236604563504036,-4.393875541428562
Gpr107,0.19464538062268388,0.9974487103767651,0.7887475077192168
Btbd17,1.800902381383441,1.7164395381971809,-0.21188532630901422
Slfn4,0.4274725402142218,0.5005461011411022,0.04249182652429938
Th,-0.0905454267784071,0.05924225291162506,0.15504283286468915
Drp2,-0.5717431473841428,1.6558146482210399,2.2106321480658297
Tspan32,-2.013350205273674,0.16975861086466282,2.3221585372244604
Lhx2,0.13606856234543244,1.50067310505034,1.3866568487773001
Clec2g,-0.5494464476202019,0.5627948590988634,1.1568771344697568
Gmpr,-1.5473400524479761,-1.8849570628816439,-0.32114181945847076
Mid2,-0.4469386612401659,-2.314789236931901,-1.8297814567719355
Trim25,0.32257222310819345,-0.8137414773094127,-1.1580128031775674
Dgke,3.863348434895432,0.26817985399314437,-3.8555579147091685
Scpep1,0.9844837519641964,3.4650675212003224,2.4112546142131785
Mnt,0.10680193024915095,-2.0643189906355115,-2.175251033065228
Itgb2,-1.8766000280074162,-4.67996606877389,-2.673810949875314
Hddc2,0.41072140824612785,2.1981696143774174,1.7532024984285128
Pemt,0.4910869292227619,1.492706286409199,0.9654243565921349
Cdh1,3.412531985569168,8.0287647977071,5.132496231468538
Bcl6b,-0.6096706049046904,-0.5565506106358155,0.09221716738857691
Clec10a,2.884388316204394,2.8463037597019127,-0.17650905004436349
Alox12,0.17683683877442224,0.8985221836726549,0.7060488277245529
Arvcf,-0.4221930852054038,0.9851459288159417,1.4208103386222661
Comt,-2.9991306390976535,-3.522528283005584,-0.3163609332150981
Rtca,-3.014481796757415,1.8256748370033327,5.042548518503593
Dbt,1.3550469278807744,0.037300291223400284,-1.4120658366429717
Dazap2,-0.3256821602302198,-2.946562443487645,-2.5983199197344478
Mcts1,-0.568283757238802,2.8605720624591138,3.4629799085278883
Rnf17,0.016538987683480232,0.32565088056715796,0.30676280450355103
Trappc10,-1.9310337174382985,-1.8651596460711628,0.19789873985548753
Ccm2,1.4245591978715963,-0.7393436471422363,-2.2610880947090464
Tbrg4,-0.009336058665490674,2.6321537745588865,2.640981733346013
Mx1,0.6666126231194812,1.3073106117608775,0.5931297477050185
Fap,0.19352430887258046,-0.052641728182449596,-0.2511367885427034
Ndufa9,-0.6159472257690488,1.0204656213825678,1.678557568696381
Egfl6,-0.32824586640285813,-1.2555196040544927,-0.9280314256321904
Lck,-0.13579191487243616,-5.16660264126964,-5.021413609084005
Galnt1,-2.3214764477642333,-2.0291705437034535,0.44927629788545403
Mkrn2,-1.5144871810321159,-2.285290590355921,-0.6629876322767014
Pparg,-5.132692931892373,0.8175788468915154,6.203567784753307
Raf1,0.3172143797395157,0.09865782221506728,-0.24035296678701148
Sept1,0.42098759905471805,-8.274996993056346,-8.723729674033942
Pdgfb,0.2621236637708578,3.3779963277326734,3.0971371746686103
Acvrl1,0.01339703614106082,5.391681933978816,5.376018569908394
Grasp,-0.9137629086185973,0.7899786312488896,1.76455732541221
Acvr1b,1.8748565636532204,2.0453144405568304,0.02839308832154299
Tom1l2,2.8307102535574504,0.5935274463243934,-2.4305285773929906
Zfp385a,0.30780943361475493,0.5860071517472951,0.25651536608793313
Itga5,0.16623938434423643,0.7485718105458046,0.5679157848186144
Gabra2,-0.9577214760480732,-0.8021337076018265,0.21898114249426948
Wdr77,1.7661741015708108,1.534708779484415,-0.3558054371215457
Adora3,1.5843564319434693,1.4345236638650078,-0.26802545444283254
Atp5f1,-1.8305456398569115,3.5094660709387258,5.465409636758992
Sox9,-0.48698240877730065,0.6386680871661762,1.1413162962442844
Hnrnpd,-3.0754474607286744,-0.8850928100025811,2.4030271899934483
Dynlt1c,1.801427645869398,0.6365489711861703,-1.2917532467077928
C1d,-1.1320440001948109,0.2825705526010974,1.4924648578528739
Gm2a,2.054774832838324,2.7569279956476382,0.5601385007145523
Krit1,1.0180677115221592,-1.9387062182904466,-3.0255743320786213
Clcn4-2,-0.44569548575791335,-4.554781047546483,-4.0763090468539565
Sema4f,-1.6130311816629033,-4.720467437959554,-2.998223057706591
Hk2,0.17841863026001836,1.6853385658561597,1.496481374298295
Myo18a,-1.8534585044507421,-3.8965680235223568,-1.9149527225249148
Sez6,0.3647659801125686,0.0532931847646828,-0.33541285579333835
Haao,-2.1594207708386923,-0.7874059005675199,1.5204533544145584
Cd52,-0.7243811044902524,0.20303134185727684,0.9773842828412239
Abhd15,2.2773644742545605,5.41036657303129,2.9850430604865372
Loxl3,-0.9279719595635904,0.5345294262611682,1.5150183510962758
Btn1a1,0.5028736242085556,0.11535694397842405,-0.42078652823181983
Kat2b,-0.271085363233857,-0.07726595651121358,0.2129629364119487
Rab5b,0.44412242583297157,-3.1699195687247337,-3.6424563192297477
Cryba1,1.340704990465261,-0.8889741825734245,-2.22456724877452
Aire,-0.5500003477955046,-1.609442171322163,-1.0509706053371506
Icosl,2.2090020704342344,-5.063441943839969,-7.345126368972535
Spg7,-0.4719688677911953,-3.3278303928677624,-2.8226185852241206
Rpl13,0.6241848448410604,5.346953463743294,4.679505222527395
Chmp1a,0.3326347458238981,-2.8187663512843897,-3.1726135549434074
Rpa1,-0.9108063660277026,0.5874848025261422,1.5611570302505946
Serpinf1,1.9690181288109065,3.839253435134328,2.0077256372173697
Tubgcp3,0.7765128891667507,2.1520144187986907,1.3227881139885667
Oprm1,1.083672788376557,0.8160589227680662,-0.3556401014462187
Polr3d,1.8296010145486954,0.3866754898970287,-1.5657091866735433
Tcf7,6.411273921398754,5.956123731393676,-0.9005564076357359
Ddx3x,0.3120508618763842,3.768145522270528,3.431898934112317
Il12rb1,0.013723695815823877,5.095860978322736,5.078231506846862
Usp32,0.2987651848456587,-0.47347864222228025,-0.7911304328124379
Txnrd3,1.072028911891561,-0.8671209772167543,-2.0008121456904377
Fasl,-1.2930259823841501,-6.162463870770023,-4.7806433871713425
Znf512b,4.131730588744763,2.527634980273302,-1.896207596114365
Dnajc5,-0.4768949954196035,1.8073576973487457,2.3170320162976386
Tpd52l2,-0.7331678014406334,0.07827947953828303,0.8617459850364604
Fmr1,-2.5367510376588305,-0.567839822377688,2.1421924521378646
Bcl11a,4.149192302353439,6.3205520544488625,1.9466322516714354
Pxmp4,-0.18530026752836776,-0.335651871122321,-0.13714208798720376
Dlg3,-0.9819279315371501,-0.7209791161475122,0.343064791435718
Gnb1l,-0.11179496306739001,-1.1042703039665818,-0.9851487342002289
Mmp11,1.2754413100478559,1.6226718393142054,0.31227140279129745
Smarcb1,-1.1371691761036946,4.316521498763335,5.526995309359919
Vpreb3,-0.3660231843410161,1.511540886052629,1.891428011468065
Hip1r,0.09087796119734891,4.027338019877271,3.929071074783237
Nsun5,1.6071781985095417,-1.6398239932122758,-3.355078127152531
Top1mt,1.0567728746306215,-0.376166744282435,-1.502835871358568
Gm38393,0.5484779623925443,-0.019937808108939158,-0.6037069811202149
Mmp14,-0.6038307333521986,0.834362657802935,1.470533360866308
Slc7a7,-2.3827520854689324,3.070241370819728,5.592413639566653
Oxa1l,-0.005168846609454161,1.6851392202171145,1.6885555451539433
Heatr6,0.40067822484546767,-1.0022162468848397,-1.4299122922578975
Ccl3,-0.10510859346498967,-1.5099483345018898,-1.3964214792661034
Icam4,1.860543360380033,-0.47125346439898746,-2.38410138606036
Ilf2,-1.510103900337848,0.957758342955429,2.5704670462732593
Chtop,0.04879508936260914,0.8629860698012929,0.8103295137175002
Snapin,0.693190208449944,-4.907735922471789,-5.644648904455913
S100a4,-1.6528756580370851,0.6943334600466655,2.4612476842500706
S100a3,1.974413081726051,2.683911099726356,0.5294445186221729
S100a5,-0.008917559741335082,-0.01248860802901311,-0.002932608539924565
S100a6,-1.4921160963840872,-0.6666405576357042,0.9286156701565785
Scn4a,-1.1440596280154638,-0.21448319001377822,1.0372745782394983
Icam2,-0.2704190655022294,-3.0745361720546125,-2.7827025845812803
Mapk7,0.6387774856026672,1.7282771089319922,1.0442499605146915
Epn2,-1.475217117055389,0.1292021443169994,1.744088537465634
B9d1,-1.5701036611583365,1.1593012185302118,2.812031507908465
Sec24b,2.302898362905144,1.7821378999506554,-0.683586013275743
N4bp3,-2.0249969390623574,-1.2725561033812487,0.8926852090312147
Rmnd5b,1.3484604836725156,-1.5092621750936597,-2.948839929963732
Nhp2,-1.4464219842645931,1.0599131297723117,2.6055473761664865
Vps9d1,-0.003763872185343812,0.6678621225938722,0.670796096434293
Zfp276,0.20324371380939507,0.35395787851817084,0.1364696793202694
Mfsd10,0.5998410354247102,2.475418505036844,1.8363564877496121
Luzp1,-0.45403804524670077,0.7836149419577448,1.2691333134094096
Kctd10,0.19408452303663531,-3.760559093347916,-3.9665278987924624
Poldip2,0.9769729250155906,1.9844915218060108,0.9398815433834289
Ift20,-1.1525594411342137,-3.538704062911478,-2.30638929051073
Pcbp3,0.8636955463596078,3.025670741085473,2.0911416590728975
Lgals9,0.08067486251703314,-0.6638081116062967,-0.7498780535441344
Araf,1.6734708010370134,-1.27479091225662,-3.0622098763198893
Cfp,-2.4985053210317076,2.2974076061506006,4.961671558756497
Timp1,-0.982442807417552,-0.5233681545070344,0.5313669351267362
Uxt,-0.7134805824622337,2.712430137149462,3.472362436383453
Cnnm3,0.43815860439801874,-2.086894596048265,-2.5150051334744297
Lman2l,1.2142508501057956,1.261367411201637,-0.03770205340164232
Mcm3ap,1.2392689429508208,0.7324795992409793,-0.5921810759167603
Pcnt,-8.553085232404946e-4,2.8416962645516963,2.8415568635615465
Ftcd,0.8805189173806044,1.0829679496580773,0.13181301046462718
Mxd1,3.129326870657122,3.0030326657145054,-0.3502597693854141
Gmcl1,-2.1542517443742875,-3.002441225587202,-0.7039166843051458
Snrnp27,-1.626250329581163,-2.1453747471118123,-0.4067018519850771
Oas1c,0.07394655962179222,-2.2687395483073054,-2.336626028612714
Ocrl,0.0979719180253033,-0.09763175982686458,-0.20181799699364616
